iter	Passed	Remaining
0	25	25061
1	34	17457
2	46	15602
3	57	14301
4	67	13498
5	77	12868
6	88	12523
7	100	12427
8	116	12785
9	128	12765
10	142	12768
11	155	12809
12	164	12490
13	173	12184
14	184	12146
15	191	11804
16	200	11597
17	210	11491
18	223	11561
19	235	11524
20	244	11416
21	256	11416
22	265	11291
23	274	11175
24	284	11083
25	291	10930
26	302	10890
27	314	10903
28	325	10897
29	333	10799
30	347	10855
31	356	10776
32	371	10889
33	382	10856
34	392	10809
35	405	10847
36	412	10728
37	422	10705
38	432	10662
39	443	10642
40	453	10611
41	462	10542
42	470	10461
43	481	10467
44	492	10444
45	502	10431
46	511	10369
47	520	10314
48	534	10380
49	544	10353
50	554	10309
51	566	10327
52	576	10292
53	588	10314
54	598	10279
55	606	10218
56	616	10196
57	624	10150
58	634	10125
59	647	10138
60	656	10105
61	666	10088
62	675	10053
63	688	10065
64	700	10070
65	710	10057
66	718	10000
67	729	10000
68	737	9952
69	745	9909
70	753	9864
71	762	9832
72	772	9804
73	781	9779
74	789	9734
75	799	9718
76	810	9712
77	819	9683
78	830	9685
79	841	9677
80	852	9666
81	868	9724
82	878	9705
83	886	9672
84	895	9636
85	905	9620
86	918	9636
87	927	9608
88	941	9638
89	951	9618
90	961	9600
91	973	9603
92	984	9596
93	998	9623
94	1007	9599
95	1018	9592
96	1028	9571
97	1040	9577
98	1053	9586
99	1060	9548
100	1070	9525
101	1079	9500
102	1087	9473
103	1096	9444
104	1106	9435
105	1119	9444
106	1127	9409
107	1138	9403
108	1147	9381
109	1155	9350
110	1165	9336
111	1176	9325
112	1186	9311
113	1196	9302
114	1207	9288
115	1217	9281
116	1229	9275
117	1241	9278
118	1251	9266
119	1263	9266
120	1276	9276
121	1286	9256
122	1300	9274
123	1309	9247
124	1319	9233
125	1327	9207
126	1336	9184
127	1347	9178
128	1360	9184
129	1370	9171
130	1379	9150
131	1388	9131
132	1399	9123
133	1406	9092
134	1417	9079
135	1428	9072
136	1440	9077
137	1452	9073
138	1462	9059
139	1471	9041
140	1484	9042
141	1493	9024
142	1503	9008
143	1514	9005
144	1524	8991
145	1540	9010
146	1549	8993
147	1559	8978
148	1568	8960
149	1580	8953
150	1589	8935
151	1599	8922
152	1607	8897
153	1614	8871
154	1624	8857
155	1634	8842
156	1643	8825
157	1653	8811
158	1663	8799
159	1670	8770
160	1680	8759
161	1689	8740
162	1700	8732
163	1709	8715
164	1720	8708
165	1730	8693
166	1738	8673
167	1746	8649
168	1755	8631
169	1766	8626
170	1776	8612
171	1789	8615
172	1798	8598
173	1807	8580
174	1817	8570
175	1828	8559
176	1839	8553
177	1850	8544
178	1861	8537
179	1870	8523
180	1882	8515
181	1892	8505
182	1903	8497
183	1911	8477
184	1919	8457
185	1928	8439
186	1938	8428
187	1946	8408
188	1955	8391
189	1967	8388
190	1978	8381
191	1989	8371
192	1999	8361
193	2008	8345
194	2017	8328
195	2026	8310
196	2037	8303
197	2047	8293
198	2057	8279
199	2063	8255
200	2073	8243
201	2083	8231
202	2091	8210
203	2101	8200
204	2111	8187
205	2123	8185
206	2133	8173
207	2143	8160
208	2155	8158
209	2165	8148
210	2175	8134
211	2183	8117
212	2193	8104
213	2204	8097
214	2213	8083
215	2221	8064
216	2230	8047
217	2241	8040
218	2248	8019
219	2258	8008
220	2268	7995
221	2278	7983
222	2288	7973
223	2297	7957
224	2307	7947
225	2317	7936
226	2327	7925
227	2335	7906
228	2343	7891
229	2353	7877
230	2364	7870
231	2374	7861
232	2385	7853
233	2394	7839
234	2411	7850
235	2420	7837
236	2429	7820
237	2440	7812
238	2447	7793
239	2459	7787
240	2467	7770
241	2476	7756
242	2486	7746
243	2494	7730
244	2505	7720
245	2513	7704
246	2521	7686
247	2530	7674
248	2541	7665
249	2551	7655
250	2561	7642
251	2569	7625
252	2577	7610
253	2586	7595
254	2596	7585
255	2613	7594
256	2620	7576
257	2631	7567
258	2640	7555
259	2655	7557
260	2663	7541
261	2671	7525
262	2683	7519
263	2694	7511
264	2702	7495
265	2714	7491
266	2724	7479
267	2734	7469
268	2746	7462
269	2758	7456
270	2765	7438
271	2773	7421
272	2781	7408
273	2791	7397
274	2800	7382
275	2814	7382
276	2824	7371
277	2835	7362
278	2845	7353
279	2855	7341
280	2866	7335
281	2875	7322
282	2888	7319
283	2899	7309
284	2907	7295
285	2918	7285
286	2927	7271
287	2936	7258
288	2946	7249
289	2957	7239
290	2968	7233
291	2975	7215
292	2986	7206
293	2995	7194
294	3006	7185
295	3015	7172
296	3027	7165
297	3038	7158
298	3046	7142
299	3056	7130
300	3064	7117
301	3074	7106
302	3085	7096
303	3096	7089
304	3105	7075
305	3113	7060
306	3126	7057
307	3134	7043
308	3144	7032
309	3155	7023
310	3164	7010
311	3173	6997
312	3183	6987
313	3192	6975
314	3203	6967
315	3214	6957
316	3224	6948
317	3234	6936
318	3243	6924
319	3254	6915
320	3267	6910
321	3274	6895
322	3286	6888
323	3296	6878
324	3306	6867
325	3313	6850
326	3321	6836
327	3332	6827
328	3341	6814
329	3349	6801
330	3357	6786
331	3367	6775
332	3378	6766
333	3389	6758
334	3397	6744
335	3407	6733
336	3418	6726
337	3429	6717
338	3438	6703
339	3449	6695
340	3457	6682
341	3466	6669
342	3477	6661
343	3486	6647
344	3496	6637
345	3505	6626
346	3518	6620
347	3527	6608
348	3536	6597
349	3548	6590
350	3558	6578
351	3570	6572
352	3581	6564
353	3591	6553
354	3601	6543
355	3609	6529
356	3621	6523
357	3634	6517
358	3641	6502
359	3651	6491
360	3664	6486
361	3674	6476
362	3682	6461
363	3691	6450
364	3703	6442
365	3713	6432
366	3725	6425
367	3735	6414
368	3744	6403
369	3756	6395
370	3768	6389
371	3776	6376
372	3787	6366
373	3798	6357
374	3805	6342
375	3813	6328
376	3824	6320
377	3838	6316
378	3848	6305
379	3858	6295
380	3867	6283
381	3879	6276
382	3890	6266
383	3901	6257
384	3911	6248
385	3931	6253
386	3944	6247
387	3956	6240
388	3966	6230
389	3977	6221
390	3986	6209
391	3995	6197
392	4003	6183
393	4011	6170
394	4024	6164
395	4036	6156
396	4047	6147
397	4055	6134
398	4067	6126
399	4078	6117
400	4089	6108
401	4102	6102
402	4112	6092
403	4123	6083
404	4133	6072
405	4143	6062
406	4156	6056
407	4166	6046
408	4176	6034
409	4185	6023
410	4193	6009
411	4204	6000
412	4212	5986
413	4226	5982
414	4238	5975
415	4246	5961
416	4255	5949
417	4263	5936
418	4274	5926
419	4282	5913
420	4292	5903
421	4301	5891
422	4309	5878
423	4317	5865
424	4328	5856
425	4339	5846
426	4348	5835
427	4356	5822
428	4365	5810
429	4375	5799
430	4385	5789
431	4394	5777
432	4406	5769
433	4414	5757
434	4425	5747
435	4435	5737
436	4443	5724
437	4453	5714
438	4463	5703
439	4473	5693
440	4481	5680
441	4493	5672
442	4502	5661
443	4513	5651
444	4524	5642
445	4531	5629
446	4541	5618
447	4550	5607
448	4559	5595
449	4568	5584
450	4576	5570
451	4586	5560
452	4594	5547
453	4604	5537
454	4613	5525
455	4621	5513
456	4630	5501
457	4638	5488
458	4647	5478
459	4655	5464
460	4665	5455
461	4675	5444
462	4685	5434
463	4696	5425
464	4704	5412
465	4716	5404
466	4724	5392
467	4735	5383
468	4745	5372
469	4755	5362
470	4766	5353
471	4774	5340
472	4783	5329
473	4792	5318
474	4804	5309
475	4813	5299
476	4822	5287
477	4832	5277
478	4841	5265
479	4849	5253
480	4859	5243
481	4869	5233
482	4879	5223
483	4887	5210
484	4894	5196
485	4916	5199
486	4926	5189
487	4936	5179
488	4945	5168
489	4954	5157
490	4965	5147
491	4974	5136
492	4983	5125
493	4993	5114
494	5000	5101
495	5010	5091
496	5021	5081
497	5031	5071
498	5039	5059
499	5052	5052
500	5061	5040
501	5069	5028
502	5078	5017
503	5088	5007
504	5097	4996
505	5104	4983
506	5113	4972
507	5121	4960
508	5130	4948
509	5138	4937
510	5147	4926
511	5159	4917
512	5168	4906
513	5177	4895
514	5185	4883
515	5193	4871
516	5200	4858
517	5209	4847
518	5221	4839
519	5231	4829
520	5244	4821
521	5252	4809
522	5264	4801
523	5274	4791
524	5287	4783
525	5301	4777
526	5315	4770
527	5325	4760
528	5334	4749
529	5344	4739
530	5352	4727
531	5365	4719
532	5376	4710
533	5385	4699
534	5396	4690
535	5402	4676
536	5412	4666
537	5421	4655
538	5432	4645
539	5442	4635
540	5449	4623
541	5457	4611
542	5469	4603
543	5478	4592
544	5488	4582
545	5498	4571
546	5507	4561
547	5518	4551
548	5528	4541
549	5536	4529
550	5549	4521
551	5558	4511
552	5568	4500
553	5578	4490
554	5590	4482
555	5600	4472
556	5611	4462
557	5618	4450
558	5629	4441
559	5639	4430
560	5648	4420
561	5658	4410
562	5667	4399
563	5676	4388
564	5687	4378
565	5698	4369
566	5708	4359
567	5717	4348
568	5725	4337
569	5738	4329
570	5747	4318
571	5758	4308
572	5769	4299
573	5781	4290
574	5791	4280
575	5801	4270
576	5813	4261
577	5823	4251
578	5835	4242
579	5846	4233
580	5860	4226
581	5872	4217
582	5882	4207
583	5892	4197
584	5902	4187
585	5911	4176
586	5920	4165
587	5927	4153
588	5937	4143
589	5947	4132
590	5955	4121
591	5965	4111
592	5978	4103
593	5986	4092
594	5994	4080
595	6004	4070
596	6013	4059
597	6020	4047
598	6029	4036
599	6043	4029
600	6054	4019
601	6061	4007
602	6071	3997
603	6079	3986
604	6088	3974
605	6101	3966
606	6111	3956
607	6121	3946
608	6135	3939
609	6143	3928
610	6151	3916
611	6162	3906
612	6170	3895
613	6180	3885
614	6188	3874
615	6198	3864
616	6208	3853
617	6215	3842
618	6226	3832
619	6236	3822
620	6248	3813
621	6257	3802
622	6268	3793
623	6278	3783
624	6289	3773
625	6299	3763
626	6311	3754
627	6322	3745
628	6332	3734
629	6341	3724
630	6350	3713
631	6365	3706
632	6378	3697
633	6386	3686
634	6395	3676
635	6406	3666
636	6417	3657
637	6427	3646
638	6437	3637
639	6446	3626
640	6455	3615
641	6465	3605
642	6475	3595
643	6484	3584
644	6495	3574
645	6505	3565
646	6514	3554
647	6528	3546
648	6535	3534
649	6543	3523
650	6552	3513
651	6564	3503
652	6574	3493
653	6583	3482
654	6594	3473
655	6608	3465
656	6621	3456
657	6630	3446
658	6638	3435
659	6646	3423
660	6659	3415
661	6668	3404
662	6678	3394
663	6685	3383
664	6694	3372
665	6703	3361
666	6711	3350
667	6721	3340
668	6730	3329
669	6737	3318
670	6746	3307
671	6756	3298
672	6767	3288
673	6775	3277
674	6784	3266
675	6795	3256
676	6804	3246
677	6816	3237
678	6826	3227
679	6838	3218
680	6852	3209
681	6862	3199
682	6872	3189
683	6880	3178
684	6891	3169
685	6899	3158
686	6911	3148
687	6921	3138
688	6932	3128
689	6938	3117
690	6950	3108
691	6958	3097
692	6969	3087
693	6981	3078
694	6989	3067
695	6999	3057
696	7008	3046
697	7016	3036
698	7028	3026
699	7040	3017
700	7049	3006
701	7061	2997
702	7070	2987
703	7079	2976
704	7090	2966
705	7099	2956
706	7107	2945
707	7119	2936
708	7126	2925
709	7137	2915
710	7144	2903
711	7154	2894
712	7165	2884
713	7176	2874
714	7189	2865
715	7201	2856
716	7211	2846
717	7219	2835
718	7229	2825
719	7239	2815
720	7247	2804
721	7259	2795
722	7269	2785
723	7278	2774
724	7287	2764
725	7296	2753
726	7306	2743
727	7313	2732
728	7321	2721
729	7330	2711
730	7338	2700
731	7349	2690
732	7360	2681
733	7369	2670
734	7379	2660
735	7390	2650
736	7400	2640
737	7410	2630
738	7420	2620
739	7432	2611
740	7443	2601
741	7451	2590
742	7463	2581
743	7474	2571
744	7484	2561
745	7494	2551
746	7503	2541
747	7518	2532
748	7526	2522
749	7535	2511
750	7545	2501
751	7553	2491
752	7563	2480
753	7571	2470
754	7583	2460
755	7592	2450
756	7603	2440
757	7614	2431
758	7623	2420
759	7632	2410
760	7641	2399
761	7648	2388
762	7656	2378
763	7666	2368
764	7676	2358
765	7685	2347
766	7694	2337
767	7703	2327
768	7713	2317
769	7724	2307
770	7733	2297
771	7744	2287
772	7752	2276
773	7762	2266
774	7769	2255
775	7779	2245
776	7790	2235
777	7800	2225
778	7811	2216
779	7819	2205
780	7827	2195
781	7836	2184
782	7845	2174
783	7853	2163
784	7865	2154
785	7874	2143
786	7884	2133
787	7891	2123
788	7902	2113
789	7912	2103
790	7919	2092
791	7929	2082
792	7937	2072
793	7948	2062
794	7957	2052
795	7966	2041
796	7977	2032
797	7986	2021
798	7996	2011
799	8007	2001
800	8015	1991
801	8025	1981
802	8036	1971
803	8044	1961
804	8053	1950
805	8063	1940
806	8074	1930
807	8087	1921
808	8096	1911
809	8105	1901
810	8112	1890
811	8122	1880
812	8130	1870
813	8138	1859
814	8147	1849
815	8160	1840
816	8170	1830
817	8178	1819
818	8188	1809
819	8199	1799
820	8209	1789
821	8217	1779
822	8226	1769
823	8237	1759
824	8252	1750
825	8263	1740
826	8271	1730
827	8286	1721
828	8295	1711
829	8305	1701
830	8313	1690
831	8324	1680
832	8333	1670
833	8344	1660
834	8352	1650
835	8361	1640
836	8372	1630
837	8383	1620
838	8396	1611
839	8405	1601
840	8415	1591
841	8424	1580
842	8433	1570
843	8442	1560
844	8452	1550
845	8460	1540
846	8470	1530
847	8479	1519
848	8488	1509
849	8496	1499
850	8507	1489
851	8517	1479
852	8526	1469
853	8537	1459
854	8549	1449
855	8558	1439
856	8568	1429
857	8579	1419
858	8589	1409
859	8596	1399
860	8606	1389
861	8616	1379
862	8627	1369
863	8636	1359
864	8644	1349
865	8653	1338
866	8660	1328
867	8670	1318
868	8682	1308
869	8694	1299
870	8704	1289
871	8710	1278
872	8719	1268
873	8727	1258
874	8738	1248
875	8747	1238
876	8757	1228
877	8765	1218
878	8773	1207
879	8783	1197
880	8794	1187
881	8803	1177
882	8812	1167
883	8822	1157
884	8836	1148
885	8845	1138
886	8858	1128
887	8867	1118
888	8876	1108
889	8886	1098
890	8896	1088
891	8905	1078
892	8918	1068
893	8928	1058
894	8936	1048
895	8945	1038
896	8954	1028
897	8964	1018
898	8975	1008
899	8985	998
900	8996	988
901	9004	978
902	9012	968
903	9023	958
